Location
"Kabul,Kabul,Afghanistan"
"Manizales,Caldas,Colombia"
"Tocancipa,Cundinamarca,Colombia"
"Bogota,Bogota,Colombia"
"Neiva,Huila,Colombia"
"Santa Marta,Magdalena,Colombia"
"Villavicencio,Meta,Colombia"
"Pasto,Narino,Colombia"
"San Francisco,Putumayo,Colombia"
"Pereira,Risaralda,Colombia"
"Bucaramanga,Santander,Colombia"
"Buenaventura,Valle del Cauca,Colombia"
"Popayan,Cauca,Colombia"
"Moroni,Ngazidja,Comoros"
"Alajuela,Alajuela Province,Costa Rica"
"Cartago,Cartago Province,Costa Rica"
"Liberia,Guanacaste Province,Costa Rica"
"Limon,Limon Province,Costa Rica"
"Punta Arenas,Puntarenas Province,Costa Rica"
"San Isidro de El General,San Jose Province,Costa Rica"
"George Town,Cayman Islands"
"Limassol,Limassol,Cyprus"
"Nicosia,Nicosia,Cyprus"
"Larnaca,Larnaca,Cyprus"
"Paphos,Paphos,Cyprus"
"Ceske Budejovice,South Bohemian Region,Czechia"
"Pelhrimov,Vysocina Region,Czechia"
"Pilsen,Plzen Region,Czechia"
"Blansko,South Moravian Region,Czechia"
"Bystrice pod Hostynem,Zlin Region,Czechia"
"Konice,Olomouc Region,Czechia"
"Ceska Kamenice,Usti nad Labem Region,Czechia"
"Ceska Lipa,Liberec Region,Czechia"
"Bridlicna,Moravian-Silesian Region,Czechia"
"Benesov,Central Bohemian Region,Czechia"
"Prague,Prague,Czechia"
"Roztoky,Rakovnik,Central Bohemian Region,Czechia"
"Broumov,Hradec Kralove Region,Czechia"
"Ceska Trebova,Pardubice Region,Czechia"
"As,Karlovy Vary Region,Czechia"
"Adlershof,Berlin,Germany"
"Bad Belzig,Brandenburg,Germany"
"Bremerhaven,Bremen,Germany"
"Aalen,Baden-Wurttemberg,Germany"
"Biberach,Freiburg,Baden-Wurttemberg,Germany"
"Ehingen,Tubingen,Baden-Wurttemberg,Germany"
"Abensberg,Bavaria,Germany"
"Berg,Upper Bavaria,Bavaria,Germany"
"Furth,Lower Bavaria,Bavaria,Germany"
"Taufkirchen,Erding,Bavaria,Germany"
"Bad Sooden-Allendorf,Hessen,Germany"
"Hamburg,Hamburg,Germany"
"Altentreptow,Mecklenburg-Vorpommern,Germany"
"Achim,Lower Saxony,Germany"
"Aachen,North Rhine-Westphalia,Germany"
"Altenkirchen,Rhineland-Palatinate,Germany"
"Ahrensburg,Schleswig-Holstein,Germany"
"Dillingen,Saarland,Germany"
"Homburg,Saarbrucken,Saarland,Germany"
"Neunkirchen,Nohfelden,Saarland,Germany"
"Annaberg-Buchholz,Saxony,Germany"
"Barleben,Saxony-Anhalt,Germany"
"Borna,Liebschutzberg,Saxony,Germany"
"Altenburg,Thuringia,Germany"
"Djibouti,Djibouti,Djibouti"
"Roseau,Saint George Parish,Dominica"
"Albertslund,Capital Region of Denmark,Denmark"
"Bjaeverskov,Region Zealand,Denmark"
"Aeroskobing,Region of Southern Denmark,Denmark"
"Braedstrup,Central Denmark Region,Denmark"
"Mariager,North Denmark Region,Denmark"
"Puerto Plata,Puerto Plata Province,Dominican Republic"
"Annaba,Annaba Province,Algeria"
"Batna,Batna Province,Algeria"
"Bejaia,Bejaia Province,Algeria"
"Biskra,Biskra Province,Algeria"
"Hassi Messaoud,Ouargla Province,Algeria"
"Setif,Setif Province,Algeria"
"Cuenca,Azuay,Ecuador"
"Loja,Loja,Ecuador"
"Manta,Manabi,Ecuador"
"Machala,El Oro,Ecuador"
"Ambato,Tungurahua,Ecuador"
"Al Duqqi,Giza Governorate,Egypt"
"Faiyum,Faiyum Governorate,Egypt"
"Hurghada,Red Sea Governorate,Egypt"
"Luxor,Luxor Governorate,Egypt"
"Alexandria,Alexandria Governorate,Egypt"
"Aswan,Aswan Governorate,Egypt"
"Asyut,Assiut Governorate,Egypt"
"Zagazig,Ash Sharqia Governorate,Egypt"
"Cairo,Cairo Governorate,Egypt"
"Damanhour,El Beheira Governorate,Egypt"
"Damietta,Damietta Governorate,Egypt"
"Mansoura,Dakahlia Governorate,Egypt"
"Port Said,Port Said Governorate,Egypt"
"Shibin Al Kawm,Menofia Governorate,Egypt"
"Sohag,Sohag Governorate,Egypt"
"Suez,Suez Governorate,Egypt"
"Tanta,Gharbia Governorate,Egypt"
"Asmara,Central,Eritrea"
"Alicante,Valencian Community,Spain"
"Rioja,Andalusia,Spain"
"Las Rozas de Madrid,Community of Madrid,Spain"
"Badalona,Catalonia,Spain"
"Algorta,Basque Country,Spain"
"Ceuta,Ceuta,Spain"
"Aranda de Duero,Castile and Leon,Spain"
"Albacete,Castile-La Mancha,Spain"
"Arona,Canary Islands,Spain"
"Badajoz,Extremadura,Spain"
"A Coruna,Galicia,Spain"
"Arnedo,La Rioja,Spain"
"Melilla,Melilla,Spain"
"Cartagena,Region of Murcia,Spain"
"Elcano,Navarre,Spain"
"Aviles,Asturias,Spain"
"Andratx,Balearic Islands,Spain"
"Camargo,Cantabria,Spain"
"Zaragoza,Aragon,Spain"
"Keila,Harju County,Estonia"
"Lihula,Laane County,Estonia"
"Torva,Valga County,Estonia"
"Voru,Voru County,Estonia"
"Addis Ababa,Addis Ababa,Ethiopia"
"Shashamene Zuria,Oromia,Ethiopia"
"Mariehamn,Finland"
"Espoo,Uusimaa,Finland"
"Hameenlinna,Tavastia Proper,Finland"
"Hamina,Kymenlaakso,Finland"
"Hartola,Paijanne Tavastia,Finland"
"Imatra,South Karelia,Finland"
"Heinavesi,Southern Savonia,Finland"
"Iisalmi,Northern Savonia,Finland"
"Ilomantsi,North Karelia,Finland"
"Konnevesi,Central Finland,Finland"
"Kemi,Lapland,Finland"
"Ahtari,Southern Ostrobothnia,Finland"
"Aura,Southwest Finland,Finland"
"Harjavalta,Satakunta,Finland"
"Ikaalinen,Pirkanmaa,Finland"
"Jakobstad,Ostrobothnia,Finland"
"Kannus,Central Ostrobothnia,Finland"
"Haapajarvi,Northern Ostrobothnia,Finland"
"Hyrynsalmi,Kainuu,Finland"
"Suva,Central Division,Fiji"
"Algolsheim,Grand Est,France"
"Agen,Nouvelle-Aquitaine,France"
"Aubiere,Auvergne-Rhone-Alpes,France"
"Armes,Bourgogne-Franche-Comte,France"
"Brest,Brittany,France"
"Arthon,Centre-Val de Loire,France"
"Ajaccio,Corsica,France"
"Acheres-la-Foret,Ile-de-France,France"
"Paris,Paris,Ile-de-France,France"
"Ales,Occitanie,France"
"Armentieres,Hauts-de-France,France"
"Alencon,Normandy,France"
"Angers,Pays de la Loire,France"
"Aix-en-Provence,Provence-Alpes-Cote d'Azur,France"
"Sophia Antipolis,France"
"Torshavn,Faroe Islands"
"Kolonia,Federated States of Micronesia"
"Libreville,Estuaire,Gabon"
"Port-Gentil,Ogooue-Maritime,Gabon"
"Alderney,Guernsey"
"St Helier,Jersey"
"Abingdon,England,United Kingdom"
"Cottenham,Cottenham,England,United Kingdom"
"Hatfield,South Yorkshire,England,United Kingdom"
"Castletown,Isle of Man,United Kingdom"
"Antrim,Northern Ireland,United Kingdom"
"Aberdeen,Scotland,United Kingdom"
"Abergavenny,Wales,United Kingdom"
"Batumi,Adjara,Georgia"
"Tbilisi,Tbilisi,Georgia"
"Baie-Mahault,Basse-Terre,Guadeloupe"
"Pointe-a-Pitre,Grande-Terre,Guadeloupe"
"Tripoli,Decentralized Administration of Peloponnese, Western Greece and the Ionian,Greece"
"Lefkada,Lefkada,Decentralized Administration of Peloponnese, Western Greece and the Ionian,Greece"
"Igoumenitsa,Decentralized Administration of Epirus and Western Macedonia,Greece"
"Preveza,Preveza,Decentralized Administration of Epirus and Western Macedonia,Greece"
"Epanomi,Decentralized Administration of Macedonia and Thrace,Greece"
"Kilkis,Kilkis,Decentralized Administration of Macedonia and Thrace,Greece"
"Kozani,Kozani,Decentralized Administration of Epirus and Western Macedonia,Greece"
"Florina,Florina,Decentralized Administration of Epirus and Western Macedonia,Greece"
"Kos,Decentralized Administration of the Aegean,Greece"
"Chios,Chios,Egeo,Greece"
"Chania,Chania,Decentralized Administration of Crete,Greece"
"Kallithea,Decentralized Administration of Attica,Greece"
"Nuuk,Sermersooq Municipality,Greenland"
"Guatemala City,Guatemala Department,Guatemala"
"Cayenne,Arrondissement of Cayenne,French Guiana"
"Hagatna,Guam"
"Georgetown,Demerara-Mahaica,Guyana"
"Samobor,Zagreb County,Croatia"
"Zagreb,City of Zagreb,Croatia"
"Koprivnica,Koprivnica-Krizevci County,Croatia"
"Rijeka,Primorje-Gorski Kotar County,Croatia"
"Zadar,Zadar County,Croatia"
"Osijek,Osijek-Baranja County,Croatia"
"Vukovar,Vukovar-Srijem County,Croatia"
"Split,Split-Dalmatia County,Croatia"
"Dubrovnik,Dubrovnik-Neretva County,Croatia"
"Port-au-Prince,Ouest Department,Haiti"
"Mohacs,Baranya,Hungary"
"Bekescsaba,Bekes County,Hungary"
"Baja,Bacs-Kiskun,Hungary"
"Budapest,Budapest,Hungary"
"Hidasnemeti,Borsod-Abauj-Zemplen,Hungary"
"Csongrad,Csongrad,Hungary"
"Dunaujvaros,Fejer,Hungary"
"Kapuvar,Gyor-Moson-Sopron,Hungary"
"Berettyoujfalu,Hajdu-Bihar,Hungary"
"Eger,Heves County,Hungary"
"Jaszbereny,Jasz-Nagykun-Szolnok,Hungary"
"Esztergom,Komarom-Esztergom,Hungary"
"Balassagyarmat,Nograd County,Hungary"
"Biatorbagy,Pest County,Hungary"
"Balatonboglar,Somogy County,Hungary"
"Csengersima,Szabolcs-Szatmar-Bereg,Hungary"
"Bonyhad,Tolna County,Hungary"
"Koszeg,Vas County,Hungary"
"Papa,Veszprem,Hungary"
"Keszthely,Zala County,Hungary"
"Lhokseumawe,Aceh,Indonesia"
"Denpasar,Bali,Indonesia"
"Jambi,Jambi,Indonesia"
"Bandung,West Java,Indonesia"
"Cilegon,Banten,Indonesia"
"Gresik,East Java,Indonesia"
"Jakarta,Jakarta,Indonesia"
"Salatiga,Central Java,Indonesia"
"Balikpapan,East Kalimantan,Indonesia"
"Banjarmasin,South Kalimantan,Indonesia"
"Dumai,Riau,Indonesia"
"Palembang,South Sumatra,Indonesia"
"Medan,North Sumatra,Indonesia"
"Yogyakarta,Special Region of Yogyakarta,Indonesia"
"Hyderabad,Telangana,India"
"Nellore,Andhra Pradesh,India"
"Guwahati,Assam,India"
"Dhanbad,Jharkhand,India"
"Patna,Bihar,India"
"New Delhi,Delhi,India"
"Ahmedabad,Gujarat,India"
"Faridabad,Haryana,India"
"Srinagar,Jammu and Kashmir,India"
"Bengaluru,Karnataka,India"
"Kochi,Kerala,India"
"Aurangabad,Maharashtra,India"
"Shillong,Meghalaya,India"
"Bhopal,Madhya Pradesh,India"
"Durg,Chhattisgarh,India"
"Bhubaneswar,Odisha,India"
"Amritsar,Punjab,India"
"Chandigarh,Chandigarh,India"
"Puducherry,Puducherry,India"
"Jaipur,Rajasthan,India"
"Chennai,Tamil Nadu,India"
"Agartala,Tripura,India"
"Prayagraj,Uttar Pradesh,India"
"Dehradun,Uttarakhand,India"
"Kolkata,West Bengal,India"
"Cobh,County Cork,Ireland"
"Cork,Cork City,County Cork,Ireland"
"Shannon,County Clare,Ireland"
"Cavan,County Cavan,Ireland"
"Carlow,County Carlow,Ireland"
"Bray,County Wicklow,Ireland"
"Dublin,County Dublin,Ireland"
"Letterkenny,County Donegal,Ireland"
"Galway,Galway City,County Galway,Ireland"
"Athy,County Kildare,Ireland"
"Kilkenny,County Kilkenny,Ireland"
"Killarney,County Kerry,Ireland"
"Drogheda,County Louth,Ireland"
"Limerick,Limerick City,County Limerick,Ireland"
"Portlaoise,County Laois,Ireland"
"Navan,County Meath,Ireland"
"Monaghan,County Monaghan,Ireland"
"Ballina,County Mayo,Ireland"
"Tullamore,County Offaly,Ireland"
"Sligo,County Sligo,Ireland"
"Clonmel,County Tipperary,Ireland"
"Dungarvan,County Waterford,Ireland"
"Athlone,County Westmeath,Ireland"
"New Ross,County Wexford,Ireland"
"Baghdad,Baghdad Governorate,Iraq"
"Akureyri,Northeastern Region,Iceland"
"Egilsstadir,Eastern Region,Iceland"
"Hafnarfjordur,Capital Region,Iceland"
"Reykjanesbaer,Southern Peninsula Region,Iceland"
"Ashdod,South District,Israel"
"Hadera,Haifa District,Israel"
"Bet Shemesh,Jerusalem District,Israel"
"Beit Dagan,Center District,Israel"
"Kiryat Ono,Tel Aviv District,Israel"
"Acre,North District,Israel"
"Agrigento,Sicily,Italy"
"Acqui Terme,Piedmont,Italy"
"Ancona,Marche,Italy"
"Aosta,Aosta,Italy"
"Avezzano,Abruzzo,Italy"
"Arezzo,Tuscany,Italy"
"Atripalda,Campania,Italy"
"Altamura,Apulia,Italy"
"Bari,Bari,Bari,Apulia,Italy"
"Albino,Lombardy,Italy"
"Trivero,Italy"
"Belluno,Veneto,Italy"
"Anzola dell'Emilia,Emilia-Romagna,Italy"
"San Candido,Trentino-South Tyrol,Italy"
"Cagliari,Sardinia,Italy"
"Campobasso,Molise,Italy"
"Castrovillari,Calabria,Italy"
"Universita degli Studi di Firenze, Polo Scientifico e Tecnologico di Sesto Fiorentino,Tuscany,Italy"
"Anagni,Lazio,Italy"
"Arenzano,Liguria,Italy"
"Cormons,Friuli-Venezia Giulia,Italy"
"Matera,Basilicata,Italy"
"Assisi,Umbria,Italy"
"Aviano,Aviano,Friuli-Venezia Giulia,Italy"
"Kingston,St. Andrew Parish,Jamaica"
"Montego Bay,St. James Parish,Jamaica"
"Portmore,St. Catherine Parish,Jamaica"
"Abashiri,Hokkaido,Japan"
"Ajigasawa,Aomori,Japan"
"Hanamaki,Iwate,Japan"
"Furukawa,Miyagi,Japan"
"Akita,Akita,Japan"
"Murayama,Yamagata,Japan"
"Aizuwakamatsu,Fukushima,Japan"
"Daigo,Ibaraki,Japan"
"Ashikaga,Tochigi,Japan"
"Fujioka,Gunma,Japan"
"Ageo,Saitama,Japan"
"Abiko,Chiba,Japan"
"Akiruno,Tokyo,Japan"
"Aikawa,Kanagawa,Japan"
"Gosen,Niigata,Japan"
"Takaoka,Toyama,Japan"
"Hakui,Ishikawa,Japan"
"Awara,Fukui,Japan"
"Fujiyoshida,Yamanashi,Japan"
"Anan,Nagano,Japan"
"Ena,Gifu,Japan"
"Fuji,Shizuoka,Japan"
"Mii District,Fukuoka,Japan"
"Anjo,Aichi,Japan"
"Ao,Mie,Japan"
"Hikone,Shiga,Japan"
"Fukuchiyama,Kyoto,Japan"
"Chihayaakasaka,Osaka,Japan"
"Akashi,Hyogo,Japan"
"Asuka,Nara,Japan"
"Gobo,Wakayama,Japan"
"Akasaki,Tottori,Japan"
"Daitocho Daito,Shimane,Japan"
"Misaki,Okayama,Japan"
"Fuchu,Hiroshima,Japan"
"Hagi,Yamaguchi,Japan"
"Anan,Tokushima,Japan"
"Kagawa District,Kagawa,Japan"
"Imabari,Ehime,Japan"
"Aki,Kochi,Japan"
"Imari,Saga,Japan"
"Shinkamigoto,Nagasaki,Japan"
"Aso,Kumamoto,Japan"
"Beppu,Oita,Japan"
"Hyuga,Miyazaki,Japan"
"Ibusuki,Kagoshima,Japan"
"Arakawa,Okinawa,Japan"
"Nur-Sultan,Kazakhstan"
"Atyrau,Atyrau Province,Kazakhstan"
"Shymkent,South Kazakhstan Province,Kazakhstan"
"Kostanay,Kostanay Province,Kazakhstan"
"Uralsk,West Kazakhstan Province,Kazakhstan"
"Pavlodar,Pavlodar Province,Kazakhstan"
"Petropavl,North Kazakhstan Province,Kazakhstan"
"Semey,East Kazakhstan Province,Kazakhstan"
"Eldoret,Uasin Gishu County,Kenya"
"Mombasa,Mombasa County,Kenya"
"Nairobi,Nairobi County,Kenya"
"Nakuru,Nakuru County,Kenya"
"Bishkek,Chuy Province,Kyrgyzstan"
"Osh,Osh Region,Kyrgyzstan"
"Phnom Penh,Phnom Penh,Cambodia"
"Basseterre,Saint Kitts and Nevis"
"Andong,Gyeongsangbuk-do,South Korea"
"Ansan-si,Gyeonggi-do,South Korea"
"Changwon,Gyeongsangnam-do,South Korea"
"Jeju-si,Jeju-do,South Korea"
"Cheonan-si,Chungcheongnam-do,South Korea"
"Cheongju-si,Chungcheongbuk-do,South Korea"
"Jeonju-si,Jeollabuk-do,South Korea"
"Chuncheon-si,Gangwon-do,South Korea"
"Incheon,Incheon,South Korea"
"Gwangju,Gwangju,South Korea"
"Gwangyang-si,Jeollanam-do,South Korea"
"Busan,Busan,South Korea"
"Seoul,Seoul,South Korea"
"Daegu,Daegu,South Korea"
"Daejeon,Daejeon,South Korea"
"Ulsan,Ulsan,South Korea"
"Vientiane,Vientiane Prefecture,Laos"
"Beirut,Beirut Governorate,Lebanon"
"Tripoli,Tripoli District,Libya"
"Schaan,Liechtenstein"
"Colombo,Western Province,Sri Lanka"
"Galle,Southern Province,Sri Lanka"
"Kandy,Central Province,Sri Lanka"
"Vavuniya,Northern Province,Sri Lanka"
"Mazeikiai District Municipality,Telsiai County,Lithuania"
"Moletai,Utena County,Lithuania"
"Taurage,Taurage County,Lithuania"
"Kaerjeng,Luxembourg"
"Kuldiga,Kuldiga Municipality,Latvia"
"Macau,Macao"
"Agadir,Souss-Massa,Morocco"
"Casablanca,Casablanca-Settat,Morocco"
"Ifran,Fez-Meknes,Morocco"
"Kenitra,Rabat-Sale-Kenitra,Morocco"
"Ksar el-Kebir,Tangier-Tetouan-Al Hoceima,Morocco"
"Marrakesh,Morocco"
"Nador,Oriental,Morocco"
"Bender,Bender,Moldova"
"Chisinau,Chisinau,Moldova"
"Ribnita,Transnistria,Moldova"
"Antananarivo,Antananarivo Province,Madagascar"
"Mahajanga,Mahajanga Province,Madagascar"
"Toamasina,Toamasina Province,Madagascar"
"Aguascalientes,Aguascalientes,Mexico"
"Ensenada,Baja California,Mexico"
"La Paz,Baja California Sur,Mexico"
"Campeche,Campeche,Mexico"
"Casas Grandes Municipality,Chihuahua,Mexico"
"Palenque,Chiapas,Mexico"
"Ciudad Acuna,Coahuila,Mexico"
"Cuautla,Morelos,Mexico"
"Colima,Colima,Mexico"
"Coyoacan,Mexico City,Mexico"
"Durango,Durango,Mexico"
"Acapulco,Guerrero,Mexico"
"Celaya,Guanajuato,Mexico"
"Atitalaquia,Hidalgo,Mexico"
"Arandas,Jalisco,Mexico"
"Guadalajara,Guadalajara,Jalisco,Mexico"
"Amecameca,State of Mexico,Mexico"
"Toluca,Toluca,State of Mexico,Mexico"
"Ciudad Hidalgo,Michoacan,Mexico"
"Cuernavaca,Cuernavaca,Morelos,Mexico"
"Tepic,Nayarit,Mexico"
"Apodaca,Nuevo Leon,Mexico"
"Heroica Ciudad de Huajuapan de Leon,Oaxaca,Mexico"
"Atlixco,Puebla,Mexico"
"Santiago de Queretaro,Queretaro,Mexico"
"Cancun,Quintana Roo,Mexico"
"Culiacan,Sinaloa,Mexico"
"Mazatlan,Mazatlan,Sinaloa,Mexico"
"Ciudad Valles,San Luis Potosi,Mexico"
"Agua Prieta,Sonora,Mexico"
"San Luis Rio Colorado,San Luis Rio Colorado,Sonora,Mexico"
"Paraiso,Tabasco,Mexico"
"Ciudad Camargo,Tamaulipas,Mexico"
"Tlaxcala,Tlaxcala,Mexico"
"Alamo Temapache,Veracruz,Mexico"
"Merida,Yucatan,Mexico"
"Zacatecas,Zacatecas,Mexico"
"Bitola,Municipality of Bitola,North Macedonia"
"Shtip,Municipality of Stip,North Macedonia"
"Msida,Malta"
"Yangon,Yangon Region,Myanmar (Burma)"
"Ulaanbaatar,Ulaanbaatar,Mongolia"
"Garapan,Northern Mariana Islands"
"Beira,Sofala Province,Mozambique"
"Maputo,Maputo,Mozambique"
"Fort-de-France,Fort-de-France,Martinique"
"Port Louis,Port Louis District,Mauritius"
"Blantyre,Southern Region,Malawi"
"Ipoh,Perak,Malaysia"
"Banting,Selangor,Malaysia"
"Kuantan,Pahang,Malaysia"
"Perai,Penang,Malaysia"
"Kota Bharu,Kelantan,Malaysia"
"Batu Pahat,Johor,Malaysia"
"Jitra,Kedah,Malaysia"
"Labuan,Labuan Federal Territory,Malaysia"
"Malacca,Malacca,Malaysia"
"Bahau,Negeri Sembilan,Malaysia"
"Kangar,Perlis,Malaysia"
"Kota Kinabalu,Sabah,Malaysia"
"Kuching,Sarawak,Malaysia"
"Kuala Terengganu,Terengganu,Malaysia"
"Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia"
"Swakopmund,Erongo Region,Namibia"
"Windhoek,Khomas Region,Namibia"
"Noumea,New Caledonia"
"Niamey,Niamey Urban Community,Niger"
"Abuja,Federal Capital Territory,Nigeria"
"Akure,Ondo,Nigeria"
"Benin City,Edo,Nigeria"
"Calabar,Cross River,Nigeria"
"Enugu,Enugu,Nigeria"
"Ibadan,Oyo,Nigeria"
"Ikeja,Lagos,Nigeria"
"Ilorin,Kwara,Nigeria"
"Jos,Plateau,Nigeria"
"Kaduna,Kaduna,Nigeria"
"Kano,Kano,Nigeria"
"Lokoja,Kogi,Nigeria"
"Owerri,Imo,Nigeria"
"Port Harcourt,Rivers,Nigeria"
"Sokoto,Sokoto,Nigeria"
"Warri,Delta,Nigeria"
"Granada,Granada,Nicaragua"
"Juigalpa,Chontales,Nicaragua"
"Managua,Managua,Nicaragua"
"Assen,Assen,Drenthe,Netherlands"
"Beilen,Drenthe,Netherlands"
"Coevorden,Coevorden,Drenthe,Netherlands"
"Emmen,Emmen,Drenthe,Netherlands"
"Hoogeveen,Hoogeveen,Drenthe,Netherlands"
"Meppel,Meppel,Drenthe,Netherlands"
"Almere,Almere,Flevoland,Netherlands"
"Biddinghuizen,Flevoland,Netherlands"
"Dronten,Dronten,Flevoland,Netherlands"
"Lelystad,Lelystad,Flevoland,Netherlands"
"Urk,Urk,Flevoland,Netherlands"
"Zeewolde,Zeewolde,Flevoland,Netherlands"
"Akkrum,Friesland,Netherlands"
"Harlingen,Harlingen,Friesland,Netherlands"
"Heerenveen,Heerenveen,Friesland,Netherlands"
"Leeuwarden,Leeuwarden,Friesland,Netherlands"
"Aalburg,Netherlands"
"Aalten,Aalten,Gelderland,Netherlands"
"Ammerzoden,Gelderland,Netherlands"
"Apeldoorn,Apeldoorn,Gelderland,Netherlands"
"Arnhem,Arnhem,Gelderland,Netherlands"
"Beek,Limburg,Netherlands"
"Beuningen,Beuningen,Gelderland,Netherlands"
"Brummen,Brummen,Gelderland,Netherlands"
"Buren,Buren,Gelderland,Netherlands"
"Cuijk,Cuijk,North Brabant,Netherlands"
"Culemborg,Culemborg,Gelderland,Netherlands"
"Doesburg,Doesburg,Gelderland,Netherlands"
"Doetinchem,Doetinchem,Gelderland,Netherlands"
"Druten,Druten,Gelderland,Netherlands"
"Duiven,Duiven,Gelderland,Netherlands"
"Ede,Ede,Gelderland,Netherlands"
"Elburg,Elburg,Gelderland,Netherlands"
"Epe,Epe,Gelderland,Netherlands"
"Ermelo,Ermelo,Gelderland,Netherlands"
"Gorinchem,Gorinchem,South Holland,Netherlands"
"Harderwijk,Harderwijk,Gelderland,Netherlands"
"Hattem,Hattem,Gelderland,Netherlands"
"Lochem,Lochem,Gelderland,Netherlands"
